county_code,lon,lat,name,level
320923,119.805338,33.78573,阜宁县,district
320924,120.257444,33.773779,射阳县,district
320925,119.793105,33.472621,建湖县,district
320981,120.314101,32.853174,东台市,district
321002,119.442267,32.392154,广陵区,district
321003,119.397777,32.377899,邗江区,district
321012,119.567481,32.426564,江都区,district
321023,119.321284,33.23694,宝应县,district
321081,119.182443,32.271965,仪征市,district
321084,119.443842,32.785164,高邮市,district
321102,119.454571,32.206191,京口区,district
321111,119.414877,32.213501,润州区,district
321112,119.433883,32.128972,丹徒区,district
321181,119.581911,31.991459,丹阳市,district
321182,119.828054,32.237266,扬中市,district
321183,119.167135,31.947355,句容市,district
321202,119.920187,32.488406,海陵区,district
321203,119.88166,32.315701,高港区,district
321204,120.148208,32.508483,姜堰区,district
321281,119.840162,32.938065,兴化市,district
321282,120.26825,32.018168,靖江市,district
321283,120.020228,32.168784,泰兴市,district
321302,118.278984,33.937726,宿城区,district
321311,118.330012,33.941071,宿豫区,district
321322,118.775889,34.129097,沭阳县,district
321323,118.681284,33.711433,泗阳县,district
321324,118.211824,33.456538,泗洪县,district
330102,120.171465,30.250236,上城区,district
330105,120.150053,30.314697,拱墅区,district
330106,120.147376,30.272934,西湖区,district
330108,120.21062,30.206615,滨江区,district
330109,120.27069,30.162932,萧山区,district
330110,119.978959,30.27365,余杭区,district
330111,119.949869,30.049871,富阳区,district
330112,119.715101,30.231153,临安区,district
330114,120.493972,30.322904,钱塘区,district
330113,120.299376,30.419025,临平区,district
330122,119.685045,29.797437,桐庐县,district
330127,119.044276,29.604177,淳安县,district
330182,119.279089,29.472284,建德市,district
330203,121.539698,29.874452,海曙区,district
330205,121.559282,29.888361,江北区,district
330206,121.831303,29.90944,北仑区,district
330211,121.713162,29.952107,镇海区,district
330212,121.558436,29.831662,鄞州区,district
330213,121.41089,29.662348,奉化区,district
330225,121.877091,29.470206,象山县,district
330226,121.432606,29.299836,宁海县,district
330281,121.156294,30.045404,余姚市,district
330282,121.248052,30.177142,慈溪市,district
330302,120.674231,28.003352,鹿城区,district
330303,120.763469,27.970254,龙湾区,district
330304,120.637145,28.006444,瓯海区,district
330305,121.156181,27.836057,洞头区,district
330324,120.690968,28.153886,永嘉县,district
330326,120.564387,27.6693,平阳县,district
330327,120.406256,27.507743,苍南县,district
330328,120.09245,27.789133,文成县,district
330329,119.71624,27.557309,泰顺县,district
330381,120.646171,27.779321,瑞安市,district
330382,120.967147,28.116083,乐清市,district
330383,120.553039,27.578156,龙港市,district
330402,120.749953,30.764652,南湖区,district
